customer_id,customer_name,province,segment,signup_date
C0001,Customer 001,Rayong,VIP,2025-01-11
C0002,Customer 002,Chanthaburi,VIP,2025-03-16
C0003,Customer 003,Bangkok,Student,2025-07-18
C0004,Customer 004,Chonburi,Corporate,2025-02-04
C0005,Customer 005,Rayong,Corporate,2025-06-03
C0006,Customer 006,Chonburi,General,2025-11-22
C0007,Customer 007,Chachoengsao,Corporate,2025-09-26
C0008,Customer 008,Bangkok,VIP,2024-09-02
C0009,Customer 009,Samut Prakan,General,2025-09-11
C0010,Customer 010,Bangkok,General,2025-07-17
C0011,Customer 011,Bangkok,VIP,2024-02-05
C0012,Customer 012,Rayong,VIP,2025-10-13
C0013,Customer 013,Rayong,Student,2024-04-03
C0014,Customer 014,Bangkok,Corporate,2025-05-20
C0015,Customer 015,Rayong,Student,2025-02-03
C0016,Customer 016,Chanthaburi,Corporate,2025-09-04
C0017,Customer 017,Chachoengsao,Student,2024-09-20
C0018,Customer 018,Rayong,Student,2025-10-15
C0019,Customer 019,Samut Prakan,VIP,2025-10-16
C0020,Customer 020,Chachoengsao,VIP,2024-11-29
C0021,Customer 021,Rayong,Corporate,2024-12-09
C0022,Customer 022,Rayong,VIP,2024-02-17
C0023,Customer 023,Chachoengsao,Student,2025-05-13
C0024,Customer 024,Samut Prakan,Corporate,2024-09-23
C0025,Customer 025,Chonburi,VIP,2024-10-04
C0026,Customer 026,Bangkok,Student,2024-08-17
C0027,Customer 027,Rayong,Student,2025-05-15
C0028,Customer 028,Rayong,Corporate,2024-12-07
C0029,Customer 029,Samut Prakan,VIP,2024-04-01
C0030,Customer 030,Samut Prakan,General,2024-04-15
C0031,Customer 031,Chachoengsao,VIP,2025-10-10
C0032,Customer 032,Chanthaburi,VIP,2024-08-06
C0033,Customer 033,Chanthaburi,Corporate,2025-09-02
C0034,Customer 034,Rayong,Student,2024-10-01
C0035,Customer 035,Samut Prakan,General,2024-12-12
C0036,Customer 036,Samut Prakan,General,2025-03-21
C0037,Customer 037,Chanthaburi,VIP,2025-03-26
C0038,Customer 038,Samut Prakan,Corporate,2025-08-04
C0039,Customer 039,Chanthaburi,VIP,2025-10-08
C0040,Customer 040,Chanthaburi,General,2024-04-15
C0041,Customer 041,Chanthaburi,Corporate,2024-03-18
C0042,Customer 042,Rayong,VIP,2024-11-21
C0043,Customer 043,Bangkok,Student,2024-06-17
C0044,Customer 044,Rayong,VIP,2024-11-04
C0045,Customer 045,Chonburi,Corporate,2025-05-14
C0046,Customer 046,Bangkok,VIP,2025-09-25
